Female,Pairbonded,TopMale,PropTopSongs,nTopSongs,nEggs,Aviary,EggsAssigned,Disrupted
FLN,True,MD2O,0.8529411764705882,29.0,0.0,9,True,False
FNMO,False,MRLW,0.64,16.0,1.0,9,True,False
FNO,True,MRLW,0.6122448979591837,30.0,0.0,9,True,False
FOLW,True,MBDY,0.7873563218390804,137.0,9.0,9,True,False
FOWD,True,M2YL,0.9534883720930233,123.0,10.0,9,True,False
FOY,True,MNDO,0.918918918918919,136.0,12.0,9,True,False
FWGP,True,MD2O,0.9821428571428571,110.0,0.0,9,True,False
FGYD,True,MNOW,0.8103448275862069,47.0,7.0,10,True,False
FLPD,False,MRBG,0.5294117647058824,9.0,0.0,10,True,False
FNLG,True,MLY,0.9968152866242038,313.0,0.0,10,True,False
FNM,True,M2M,0.979381443298969,95.0,4.0,10,True,False
FNPR,True,MRBG,0.625,25.0,3.0,10,True,False
FNRL,True,MNOW,0.9652173913043478,111.0,0.0,10,True,False
FO2P,True,MRBG,0.7857142857142857,22.0,0.0,10,True,False
FOD,True,MDL,0.984375,63.0,2.0,10,True,False
FR2G,True,MDMG,0.9323843416370107,262.0,4.0,10,True,False
FRBR,True,MDMG,0.8717948717948718,34.0,1.0,10,True,False
F2RD,False,MWRO,0.30434782608695654,7.0,0.0,11,True,True
F2RW,True,MBOD,0.7121212121212122,141.0,10.0,11,True,True
FBNM,True,MB2M,0.928,232.0,8.0,11,True,True
FBON,True,MWMG,0.8604651162790697,185.0,18.0,11,True,True
FBWB,False,MWRO,0.21428571428571427,6.0,0.0,11,True,True
FGBD,True,MGWD,0.9050279329608939,324.0,16.0,11,True,True
FL2D,False,MWRO,0.37209302325581395,16.0,0.0,11,True,True
FN2R,True,MW2R,0.8923444976076556,373.0,5.0,11,True,True
FNMW,True,MMOL,0.9473684210526315,36.0,1.0,11,True,True
FPBM,False,MWRO,0.5,16.0,1.0,11,True,True
FPDY,False,MWRO,0.3225806451612903,10.0,0.0,11,True,True
FPLM,False,MWRO,0.5185185185185185,14.0,0.0,11,True,True
FRG,True,MND,0.7132352941176471,97.0,2.0,11,True,True
FRLR,True,MO,0.89937106918239,143.0,10.0,11,True,True
FRM,False,MWRO,0.3333333333333333,10.0,0.0,11,True,True
FRW,False,MWRO,0.4642857142857143,26.0,0.0,11,True,True
FWN,True,MW2R,0.6857142857142857,24.0,0.0,11,True,True
